2020-10-29 18:57:15,217 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-10-29 18:57:15,288 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-10-29 18:57:15,290 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2020-10-29 18:57:15,290 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2020-10-29 18:57:15,319 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-10-29 18:57:15,320 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-10-29 18:57:15,553 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-10-29 19:08:51,928 INFO  SwAddin.cs: 271 - Assembly export called for file serial3
2020-10-29 19:08:53,015 INFO  SwAddin.cs: 290 - Saving assembly
2020-10-29 19:08:53,175 INFO  SwAddin.cs: 293 - Opening property manager
2020-10-29 19:08:53,194 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from serial3
2020-10-29 19:08:53,542 INFO  ExportHelperExtension.cs: 1142 - Found 32 in serial3
2020-10-29 19:08:53,544 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in serial3
2020-10-29 19:08:53,544 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-10-29 19:08:53,556 INFO  ExportHelperExtension.cs: 1167 - 4 components to check
2020-10-29 19:08:53,557 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from base_link_assembly-1
2020-10-29 19:08:53,558 INFO  ExportHelperExtension.cs: 1142 - Found 25 in base_link_assembly-1
2020-10-29 19:08:53,558 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [CoordSys] in base_link_assembly-1
2020-10-29 19:08:53,559 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from e1_link_assembly-1
2020-10-29 19:08:53,559 INFO  ExportHelperExtension.cs: 1142 - Found 26 in e1_link_assembly-1
2020-10-29 19:08:53,559 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [CoordSys] in e1_link_assembly-1
2020-10-29 19:08:53,560 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from e2_link_assembly-1
2020-10-29 19:08:53,560 INFO  ExportHelperExtension.cs: 1142 - Found 27 in e2_link_assembly-1
2020-10-29 19:08:53,561 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [CoordSys] in e2_link_assembly-1
2020-10-29 19:08:53,561 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from e3_link_assembly-1
2020-10-29 19:08:53,561 INFO  ExportHelperExtension.cs: 1142 - Found 27 in e3_link_assembly-1
2020-10-29 19:08:53,562 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [CoordSys] in e3_link_assembly-1
2020-10-29 19:08:53,563 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from serial3
2020-10-29 19:08:53,563 INFO  ExportHelperExtension.cs: 1142 - Found 32 in serial3
2020-10-29 19:08:53,564 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in serial3
2020-10-29 19:08:53,564 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-10-29 19:08:53,564 INFO  ExportHelperExtension.cs: 1167 - 4 components to check
2020-10-29 19:08:53,565 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from base_link_assembly-1
2020-10-29 19:08:53,565 INFO  ExportHelperExtension.cs: 1142 - Found 25 in base_link_assembly-1
2020-10-29 19:08:53,565 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in base_link_assembly-1
2020-10-29 19:08:53,566 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from e1_link_assembly-1
2020-10-29 19:08:53,566 INFO  ExportHelperExtension.cs: 1142 - Found 26 in e1_link_assembly-1
2020-10-29 19:08:53,566 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [RefAxis] in e1_link_assembly-1
2020-10-29 19:08:53,568 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from e2_link_assembly-1
2020-10-29 19:08:53,601 INFO  ExportHelperExtension.cs: 1142 - Found 27 in e2_link_assembly-1
2020-10-29 19:08:53,602 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [RefAxis] in e2_link_assembly-1
2020-10-29 19:08:53,603 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from e3_link_assembly-1
2020-10-29 19:08:53,603 INFO  ExportHelperExtension.cs: 1142 - Found 27 in e3_link_assembly-1
